time_utc,lat,lon,wind_kt,pressure_hpa,status
2023-06-11T00:00:00Z,12.5,66.2,65,982,TROPICAL_STORM
2023-06-11T06:00:00Z,13.1,66.9,70,978,TROPICAL_STORM
2023-06-11T12:00:00Z,13.8,67.7,75,972,HURRICANE
2023-06-12T00:00:00Z,15.2,68.4,80,968,HURRICANE
2023-06-12T12:00:00Z,16.6,68.8,85,962,HURRICANE
2023-06-13T00:00:00Z,17.9,69.0,90,958,HURRICANE
2023-06-13T12:00:00Z,19.2,68.9,90,956,HURRICANE
2023-06-14T00:00:00Z,20.8,68.6,85,960,HURRICANE
2023-06-14T12:00:00Z,22.3,68.4,75,968,TROPICAL_STORM
2023-06-15T00:00:00Z,23.2,68.3,65,976,TROPICAL_STORM
2023-06-15T12:00:00Z,23.9,68.4,55,984,TROPICAL_STORM
2023-06-16T00:00:00Z,24.4,68.6,40,992,TROPICAL_DEPRESSION
2023-06-16T12:00:00Z,24.8,69.0,30,996,TROPICAL_DEPRESSION
